"id","disease","topic","question","answer"
"140","Migren (Sakit Kepala Sebelah)","Pencegahan","Gimana cara mengurangi frekuensi migren?","Pencegahan migren meliputi identifikasi dan penghindaran pemicu (stres, kurang tidur, kafein berlebih, hormon, makanan tertentu seperti keju dan coklat), menjaga pola tidur dan makan yang teratur, mengelola stres dengan relaksasi atau meditasi, cukup minum air putih, dan pada kasus sering dapat diberikan obat pencegah (profilaksis) seperti topiramat atau propranolol oleh dokter."
"141","Migren (Sakit Kepala Sebelah)","Pengobatan","Bagaimana cara mengobati migren saat serangan terjadi?","Pengobatan migren akut meliputi analgesik seperti ibuprofen atau paracetamol untuk kasus ringan–sedang, dan triptan (seperti sumatriptan) untuk kasus sedang–berat yang diresepkan dokter. Saat serangan, sebaiknya istirahat di ruangan gelap dan tenang, kompres dingin di kepala, dan hindari rangsangan cahaya dan suara. Jangan menunda pengobatan saat gejala mulai muncul."
"142","Migren (Sakit Kepala Sebelah)","Pengobatan","Obat apa yang ampuh untuk mengatasi migren?","Pengobatan migren akut meliputi analgesik seperti ibuprofen atau paracetamol untuk kasus ringan–sedang, dan triptan (seperti sumatriptan) untuk kasus sedang–berat yang diresepkan dokter. Saat serangan, sebaiknya istirahat di ruangan gelap dan tenang, kompres dingin di kepala, dan hindari rangsangan cahaya dan suara. Jangan menunda pengobatan saat gejala mulai muncul."
"143","Migren (Sakit Kepala Sebelah)","Pengobatan","Penanganan migren yang tepat itu seperti apa?","Pengobatan migren akut meliputi analgesik seperti ibuprofen atau paracetamol untuk kasus ringan–sedang, dan triptan (seperti sumatriptan) untuk kasus sedang–berat yang diresepkan dokter. Saat serangan, sebaiknya istirahat di ruangan gelap dan tenang, kompres dingin di kepala, dan hindari rangsangan cahaya dan suara. Jangan menunda pengobatan saat gejala mulai muncul."
"144","Migren (Sakit Kepala Sebelah)","Pengobatan","Apa yang harus dilakukan saat migren menyerang?","Pengobatan migren akut meliputi analgesik seperti ibuprofen atau paracetamol untuk kasus ringan–sedang, dan triptan (seperti sumatriptan) untuk kasus sedang–berat yang diresepkan dokter. Saat serangan, sebaiknya istirahat di ruangan gelap dan tenang, kompres dingin di kepala, dan hindari rangsangan cahaya dan suara. Jangan menunda pengobatan saat gejala mulai muncul."
"145","Artritis (Radang Sendi)","Gejala","Apa saja gejala dari penyakit artritis atau radang sendi?","Gejala artritis meliputi nyeri sendi, bengkak, kemerahan, dan rasa hangat di area sendi yang terkena, serta kekakuan sendi terutama di pagi hari. Pada artritis reumatoid, sendi-sendi kecil di tangan dan kaki biasanya terkena secara simetris. Pada osteoartritis, sendi-sendi besar seperti lutut, pinggul, dan tulang belakang lebih sering terdampak."
"146","Artritis (Radang Sendi)","Gejala","Bagaimana tanda-tanda seseorang terkena radang sendi?","Gejala artritis meliputi nyeri sendi, bengkak, kemerahan, dan rasa hangat di area sendi yang terkena, serta kekakuan sendi terutama di pagi hari. Pada artritis reumatoid, sendi-sendi kecil di tangan dan kaki biasanya terkena secara simetris. Pada osteoartritis, sendi-sendi besar seperti lutut, pinggul, dan tulang belakang lebih sering terdampak."
"147","Artritis (Radang Sendi)","Gejala","Ciri-ciri artritis itu seperti apa ya?","Gejala artritis meliputi nyeri sendi, bengkak, kemerahan, dan rasa hangat di area sendi yang terkena, serta kekakuan sendi terutama di pagi hari. Pada artritis reumatoid, sendi-sendi kecil di tangan dan kaki biasanya terkena secara simetris. Pada osteoartritis, sendi-sendi besar seperti lutut, pinggul, dan tulang belakang lebih sering terdampak."
"148","Artritis (Radang Sendi)","Gejala","Apa yang dirasakan penderita radang sendi?","Gejala artritis meliputi nyeri sendi, bengkak, kemerahan, dan rasa hangat di area sendi yang terkena, serta kekakuan sendi terutama di pagi hari. Pada artritis reumatoid, sendi-sendi kecil di tangan dan kaki biasanya terkena secara simetris. Pada osteoartritis, sendi-sendi besar seperti lutut, pinggul, dan tulang belakang lebih sering terdampak."
"149","Artritis (Radang Sendi)","Pencegahan","Bagaimana cara mencegah radang sendi atau artritis?","Pencegahan artritis meliputi menjaga berat badan ideal untuk mengurangi beban pada sendi, rutin berolahraga ringan seperti renang dan jalan kaki untuk menjaga fleksibilitas sendi, menghindari cedera sendi dengan pemanasan sebelum olahraga, mengonsumsi makanan bergizi kaya antioksidan, dan tidak merokok (faktor risiko artritis reumatoid)."
"150","Artritis (Radang Sendi)","Pencegahan","Apa yang bisa dilakukan agar sendi tetap sehat?","Pencegahan artritis meliputi menjaga berat badan ideal untuk mengurangi beban pada sendi, rutin berolahraga ringan seperti renang dan jalan kaki untuk menjaga fleksibilitas sendi, menghindari cedera sendi dengan pemanasan sebelum olahraga, mengonsumsi makanan bergizi kaya antioksidan, dan tidak merokok (faktor risiko artritis reumatoid)."
"151","Artritis (Radang Sendi)","Pencegahan","Tips menjaga kesehatan sendi agar tidak kena artritis?","Pencegahan artritis meliputi menjaga berat badan ideal untuk mengurangi beban pada sendi, rutin berolahraga ringan seperti renang dan jalan kaki untuk menjaga fleksibilitas sendi, menghindari cedera sendi dengan pemanasan sebelum olahraga, mengonsumsi makanan bergizi kaya antioksidan, dan tidak merokok (faktor risiko artritis reumatoid)."
"152","Artritis (Radang Sendi)","Pencegahan","Gimana cara mencegah nyeri sendi di usia tua?","Pencegahan artritis meliputi menjaga berat badan ideal untuk mengurangi beban pada sendi, rutin berolahraga ringan seperti renang dan jalan kaki untuk menjaga fleksibilitas sendi, menghindari cedera sendi dengan pemanasan sebelum olahraga, mengonsumsi makanan bergizi kaya antioksidan, dan tidak merokok (faktor risiko artritis reumatoid)."
"153","Artritis (Radang Sendi)","Pengobatan","Bagaimana cara mengobati artritis atau radang sendi?","Pengobatan artritis bertujuan mengurangi nyeri dan memperlambat kerusakan sendi. Mencakup obat OAINS untuk nyeri, Disease-Modifying Antirheumatic Drugs (DMARDs) seperti metotreksat untuk artritis reumatoid, fisioterapi untuk menjaga fungsi sendi, serta operasi penggantian sendi pada kasus lanjut. Artritis umumnya tidak bisa sembuh total tetapi dapat dikontrol dengan baik."
"154","Artritis (Radang Sendi)","Pengobatan","Obat apa yang digunakan untuk mengatasi nyeri sendi?","Pengobatan artritis bertujuan mengurangi nyeri dan memperlambat kerusakan sendi. Mencakup obat OAINS untuk nyeri, Disease-Modifying Antirheumatic Drugs (DMARDs) seperti metotreksat untuk artritis reumatoid, fisioterapi untuk menjaga fungsi sendi, serta operasi penggantian sendi pada kasus lanjut. Artritis umumnya tidak bisa sembuh total tetapi dapat dikontrol dengan baik."
"155","Artritis (Radang Sendi)","Pengobatan","Penanganan artritis yang tepat itu seperti apa?","Pengobatan artritis bertujuan mengurangi nyeri dan memperlambat kerusakan sendi. Mencakup obat OAINS untuk nyeri, Disease-Modifying Antirheumatic Drugs (DMARDs) seperti metotreksat untuk artritis reumatoid, fisioterapi untuk menjaga fungsi sendi, serta operasi penggantian sendi pada kasus lanjut. Artritis umumnya tidak bisa sembuh total tetapi dapat dikontrol dengan baik."
"156","Artritis (Radang Sendi)","Pengobatan","Apakah artritis bisa disembuhkan sepenuhnya?","Pengobatan artritis bertujuan mengurangi nyeri dan memperlambat kerusakan sendi. Mencakup obat OAINS untuk nyeri, Disease-Modifying Antirheumatic Drugs (DMARDs) seperti metotreksat untuk artritis reumatoid, fisioterapi untuk menjaga fungsi sendi, serta operasi penggantian sendi pada kasus lanjut. Artritis umumnya tidak bisa sembuh total tetapi dapat dikontrol dengan baik."
"157","Hipotiroidisme","Gejala","Apa saja gejala dari hipotiroidisme atau kelenjar tiroid yang kurang aktif?","Gejala hipotiroidisme meliputi kelelahan dan lemas berkepanjangan, berat badan naik meski tidak banyak makan, kedinginan meski cuaca tidak dingin, sembelit, kulit kering dan rambut rontok, wajah dan kelopak mata bengkak (terutama pagi hari), denyut jantung lambat, depresi, dan sulit berkonsentrasi. Gejala berkembang perlahan dan sering disalahartikan sebagai penuaan."
"158","Hipotiroidisme","Gejala","Bagaimana tanda-tanda seseorang menderita hipotiroid?","Gejala hipotiroidisme meliputi kelelahan dan lemas berkepanjangan, berat badan naik meski tidak banyak makan, kedinginan meski cuaca tidak dingin, sembelit, kulit kering dan rambut rontok, wajah dan kelopak mata bengkak (terutama pagi hari), denyut jantung lambat, depresi, dan sulit berkonsentrasi. Gejala berkembang perlahan dan sering disalahartikan sebagai penuaan."
"159","Hipotiroidisme","Gejala","Ciri-ciri hipotiroidisme itu seperti apa ya?","Gejala hipotiroidisme meliputi kelelahan dan lemas berkepanjangan, berat badan naik meski tidak banyak makan, kedinginan meski cuaca tidak dingin, sembelit, kulit kering dan rambut rontok, wajah dan kelopak mata bengkak (terutama pagi hari), denyut jantung lambat, depresi, dan sulit berkonsentrasi. Gejala berkembang perlahan dan sering disalahartikan sebagai penuaan."
"160","Hipotiroidisme","Gejala","Apa yang dirasakan tubuh jika kelenjar tiroid kurang aktif?","Gejala hipotiroidisme meliputi kelelahan dan lemas berkepanjangan, berat badan naik meski tidak banyak makan, kedinginan meski cuaca tidak dingin, sembelit, kulit kering dan rambut rontok, wajah dan kelopak mata bengkak (terutama pagi hari), denyut jantung lambat, depresi, dan sulit berkonsentrasi. Gejala berkembang perlahan dan sering disalahartikan sebagai penuaan."
"161","Hipotiroidisme","Pencegahan","Bagaimana cara mencegah hipotiroidisme?","Pencegahan hipotiroidisme meliputi memastikan asupan yodium yang cukup melalui konsumsi garam beryodium dan makanan laut, menghindari paparan radiasi di area leher berlebihan, pemeriksaan tiroid rutin terutama bagi wanita di atas 60 tahun atau yang memiliki riwayat keluarga dengan penyakit tiroid, dan tidak mengonsumsi suplemen yodium berlebihan tanpa pengawasan dokter."
"162","Hipotiroidisme","Pencegahan","Apa yang bisa dilakukan agar kelenjar tiroid tetap sehat?","Pencegahan hipotiroidisme meliputi memastikan asupan yodium yang cukup melalui konsumsi garam beryodium dan makanan laut, menghindari paparan radiasi di area leher berlebihan, pemeriksaan tiroid rutin terutama bagi wanita di atas 60 tahun atau yang memiliki riwayat keluarga dengan penyakit tiroid, dan tidak mengonsumsi suplemen yodium berlebihan tanpa pengawasan dokter."
"163","Hipotiroidisme","Pencegahan","Tips menjaga fungsi tiroid itu gimana?","Pencegahan hipotiroidisme meliputi memastikan asupan yodium yang cukup melalui konsumsi garam beryodium dan makanan laut, menghindari paparan radiasi di area leher berlebihan, pemeriksaan tiroid rutin terutama bagi wanita di atas 60 tahun atau yang memiliki riwayat keluarga dengan penyakit tiroid, dan tidak mengonsumsi suplemen yodium berlebihan tanpa pengawasan dokter."
"164","Hipotiroidisme","Pencegahan","Apakah konsumsi yodium bisa mencegah hipotiroid?","Pencegahan hipotiroidisme meliputi memastikan asupan yodium yang cukup melalui konsumsi garam beryodium dan makanan laut, menghindari paparan radiasi di area leher berlebihan, pemeriksaan tiroid rutin terutama bagi wanita di atas 60 tahun atau yang memiliki riwayat keluarga dengan penyakit tiroid, dan tidak mengonsumsi suplemen yodium berlebihan tanpa pengawasan dokter."
"165","Hipotiroidisme","Pengobatan","Bagaimana cara mengobati hipotiroidisme?","Pengobatan hipotiroidisme utamanya menggunakan hormon tiroid sintetik yaitu levotiroksin (T4) yang diminum sekali sehari dalam kondisi perut kosong. Dosis disesuaikan berdasarkan hasil pemeriksaan darah TSH secara rutin. Pada kebanyakan kasus, pengobatan memang diperlukan seumur hidup, namun pasien dapat menjalani hidup normal dengan dosis yang tepat dan pemantauan rutin."
"166","Hipotiroidisme","Pengobatan","Obat apa yang diberikan untuk mengatasi tiroid yang kurang aktif?","Pengobatan hipotiroidisme utamanya menggunakan hormon tiroid sintetik yaitu levotiroksin (T4) yang diminum sekali sehari dalam kondisi perut kosong. Dosis disesuaikan berdasarkan hasil pemeriksaan darah TSH secara rutin. Pada kebanyakan kasus, pengobatan memang diperlukan seumur hidup, namun pasien dapat menjalani hidup normal dengan dosis yang tepat dan pemantauan rutin."
"167","Hipotiroidisme","Pengobatan","Penanganan hipotiroid yang tepat itu seperti apa?","Pengobatan hipotiroidisme utamanya menggunakan hormon tiroid sintetik yaitu levotiroksin (T4) yang diminum sekali sehari dalam kondisi perut kosong. Dosis disesuaikan berdasarkan hasil pemeriksaan darah TSH secara rutin. Pada kebanyakan kasus, pengobatan memang diperlukan seumur hidup, namun pasien dapat menjalani hidup normal dengan dosis yang tepat dan pemantauan rutin."
"168","Hipotiroidisme","Pengobatan","Apakah pengobatan hipotiroid harus seumur hidup?","Pengobatan hipotiroidisme utamanya menggunakan hormon tiroid sintetik yaitu levotiroksin (T4) yang diminum sekali sehari dalam kondisi perut kosong. Dosis disesuaikan berdasarkan hasil pemeriksaan darah TSH secara rutin. Pada kebanyakan kasus, pengobatan memang diperlukan seumur hidup, namun pasien dapat menjalani hidup normal dengan dosis yang tepat dan pemantauan rutin."
"169","Hipertiroidisme","Gejala","Apa saja gejala dari hipertiroidisme atau kelenjar tiroid yang terlalu aktif?","Gejala hipertiroidisme meliputi penurunan berat badan meski nafsu makan meningkat, jantung berdebar cepat atau tidak teratur, gelisah dan cemas berlebihan, mudah berkeringat dan tidak tahan panas, tremor (gemetar) di tangan, gangguan tidur, sering buang air besar, kelemahan otot, dan pada wanita dapat terjadi gangguan siklus menstruasi."
"170","Hipertiroidisme","Gejala","Bagaimana tanda-tanda seseorang menderita hipertiroid?","Gejala hipertiroidisme meliputi penurunan berat badan meski nafsu makan meningkat, jantung berdebar cepat atau tidak teratur, gelisah dan cemas berlebihan, mudah berkeringat dan tidak tahan panas, tremor (gemetar) di tangan, gangguan tidur, sering buang air besar, kelemahan otot, dan pada wanita dapat terjadi gangguan siklus menstruasi."
"171","Hipertiroidisme","Gejala","Ciri-ciri hipertiroidisme itu seperti apa ya?","Gejala hipertiroidisme meliputi penurunan berat badan meski nafsu makan meningkat, jantung berdebar cepat atau tidak teratur, gelisah dan cemas berlebihan, mudah berkeringat dan tidak tahan panas, tremor (gemetar) di tangan, gangguan tidur, sering buang air besar, kelemahan otot, dan pada wanita dapat terjadi gangguan siklus menstruasi."
"172","Hipertiroidisme","Gejala","Apa yang dirasakan tubuh jika tiroid terlalu aktif?","Gejala hipertiroidisme meliputi penurunan berat badan meski nafsu makan meningkat, jantung berdebar cepat atau tidak teratur, gelisah dan cemas berlebihan, mudah berkeringat dan tidak tahan panas, tremor (gemetar) di tangan, gangguan tidur, sering buang air besar, kelemahan otot, dan pada wanita dapat terjadi gangguan siklus menstruasi."
"173","Hipertiroidisme","Pencegahan","Bagaimana cara mencegah hipertiroidisme?","Pencegahan hipertiroidisme sulit dilakukan karena penyebab utamanya (penyakit Graves) bersifat autoimun. Namun risiko dapat dikurangi dengan tidak mengonsumsi suplemen yodium atau obat yang mengandung yodium berlebihan, menghindari stres berat, tidak merokok, dan melakukan pemeriksaan tiroid rutin jika ada riwayat keluarga dengan penyakit tiroid."
"174","Hipertiroidisme","Pencegahan","Apa yang bisa dilakukan agar tiroid tidak jadi hiperaktif?","Pencegahan hipertiroidisme sulit dilakukan karena penyebab utamanya (penyakit Graves) bersifat autoimun. Namun risiko dapat dikurangi dengan tidak mengonsumsi suplemen yodium atau obat yang mengandung yodium berlebihan, menghindari stres berat, tidak merokok, dan melakukan pemeriksaan tiroid rutin jika ada riwayat keluarga dengan penyakit tiroid."
"175","Hipertiroidisme","Pencegahan","Tips menjaga keseimbangan fungsi tiroid itu gimana?","Pencegahan hipertiroidisme sulit dilakukan karena penyebab utamanya (penyakit Graves) bersifat autoimun. Namun risiko dapat dikurangi dengan tidak mengonsumsi suplemen yodium atau obat yang mengandung yodium berlebihan, menghindari stres berat, tidak merokok, dan melakukan pemeriksaan tiroid rutin jika ada riwayat keluarga dengan penyakit tiroid."
"176","Hipertiroidisme","Pencegahan","Adakah cara mencegah gondok atau hipertiroid?","Pencegahan hipertiroidisme sulit dilakukan karena penyebab utamanya (penyakit Graves) bersifat autoimun. Namun risiko dapat dikurangi dengan tidak mengonsumsi suplemen yodium atau obat yang mengandung yodium berlebihan, menghindari stres berat, tidak merokok, dan melakukan pemeriksaan tiroid rutin jika ada riwayat keluarga dengan penyakit tiroid."
"177","Hipertiroidisme","Pengobatan","Bagaimana cara mengobati hipertiroidisme?","Pengobatan hipertiroidisme meliputi tiga pilihan utama: obat antitiroid (propiltiourasil atau metimazol) untuk menghambat produksi hormon tiroid, terapi yodium radioaktif (RAI) untuk menghancurkan sebagian kelenjar tiroid, atau operasi pengangkatan sebagian/seluruh kelenjar tiroid (tiroidektomi). Pilihan terapi bergantung pada penyebab, usia, kondisi pasien, dan preferensi setelah konsultasi dengan dokter."
"178","Hipertiroidisme","Pengobatan","Obat apa yang digunakan untuk mengatasi tiroid yang terlalu aktif?","Pengobatan hipertiroidisme meliputi tiga pilihan utama: obat antitiroid (propiltiourasil atau metimazol) untuk menghambat produksi hormon tiroid, terapi yodium radioaktif (RAI) untuk menghancurkan sebagian kelenjar tiroid, atau operasi pengangkatan sebagian/seluruh kelenjar tiroid (tiroidektomi). Pilihan terapi bergantung pada penyebab, usia, kondisi pasien, dan preferensi setelah konsultasi dengan dokter."
"179","Hipertiroidisme","Pengobatan","Penanganan hipertiroid yang tepat itu seperti apa?","Pengobatan hipertiroidisme meliputi tiga pilihan utama: obat antitiroid (propiltiourasil atau metimazol) untuk menghambat produksi hormon tiroid, terapi yodium radioaktif (RAI) untuk menghancurkan sebagian kelenjar tiroid, atau operasi pengangkatan sebagian/seluruh kelenjar tiroid (tiroidektomi). Pilihan terapi bergantung pada penyebab, usia, kondisi pasien, dan preferensi setelah konsultasi dengan dokter."
"180","Hipertiroidisme","Pengobatan","Apakah hipertiroidisme perlu dioperasi?","Pengobatan hipertiroidisme meliputi tiga pilihan utama: obat antitiroid (propiltiourasil atau metimazol) untuk menghambat produksi hormon tiroid, terapi yodium radioaktif (RAI) untuk menghancurkan sebagian kelenjar tiroid, atau operasi pengangkatan sebagian/seluruh kelenjar tiroid (tiroidektomi). Pilihan terapi bergantung pada penyebab, usia, kondisi pasien, dan preferensi setelah konsultasi dengan dokter."
"181","Hepatitis B","Gejala","Apa saja gejala penyakit hepatitis B?","Hepatitis B akut dapat tidak bergejala atau muncul gejala seperti kelelahan, mual muntah, nyeri perut kanan atas, urin berwarna gelap (seperti teh), feses berwarna pucat, nyeri sendi, dan kulit serta mata yang menguning (ikterus). Hepatitis B kronis sering tanpa gejala selama bertahun-tahun hingga terjadi kerusakan hati yang serius seperti sirosis atau kanker hati."
"182","Hepatitis B","Gejala","Bagaimana tanda-tanda seseorang terinfeksi hepatitis B?","Hepatitis B akut dapat tidak bergejala atau muncul gejala seperti kelelahan, mual muntah, nyeri perut kanan atas, urin berwarna gelap (seperti teh), feses berwarna pucat, nyeri sendi, dan kulit serta mata yang menguning (ikterus). Hepatitis B kronis sering tanpa gejala selama bertahun-tahun hingga terjadi kerusakan hati yang serius seperti sirosis atau kanker hati."
"183","Hepatitis B","Gejala","Ciri-ciri hepatitis B itu seperti apa ya?","Hepatitis B akut dapat tidak bergejala atau muncul gejala seperti kelelahan, mual muntah, nyeri perut kanan atas, urin berwarna gelap (seperti teh), feses berwarna pucat, nyeri sendi, dan kulit serta mata yang menguning (ikterus). Hepatitis B kronis sering tanpa gejala selama bertahun-tahun hingga terjadi kerusakan hati yang serius seperti sirosis atau kanker hati."
"184","Hepatitis B","Gejala","Apa yang dirasakan tubuh ketika terkena hepatitis B?","Hepatitis B akut dapat tidak bergejala atau muncul gejala seperti kelelahan, mual muntah, nyeri perut kanan atas, urin berwarna gelap (seperti teh), feses berwarna pucat, nyeri sendi, dan kulit serta mata yang menguning (ikterus). Hepatitis B kronis sering tanpa gejala selama bertahun-tahun hingga terjadi kerusakan hati yang serius seperti sirosis atau kanker hati."
"185","Hepatitis B","Pencegahan","Bagaimana cara mencegah penularan hepatitis B?","Pencegahan hepatitis B paling efektif melalui vaksinasi (3 dosis jadwal standar). Selain itu, hindari berbagi jarum suntik, pisau cukur, atau sikat gigi; gunakan kondom saat berhubungan seksual; pastikan prosedur medis dan tato menggunakan alat steril; dan ibu hamil dengan hepatitis B harus melaporkan kondisinya agar bayi segera mendapat imunoglobulin hepatitis B dan vaksin saat lahir."
"186","Hepatitis B","Pencegahan","Apa yang bisa dilakukan agar tidak tertular hepatitis B?","Pencegahan hepatitis B paling efektif melalui vaksinasi (3 dosis jadwal standar). Selain itu, hindari berbagi jarum suntik, pisau cukur, atau sikat gigi; gunakan kondom saat berhubungan seksual; pastikan prosedur medis dan tato menggunakan alat steril; dan ibu hamil dengan hepatitis B harus melaporkan kondisinya agar bayi segera mendapat imunoglobulin hepatitis B dan vaksin saat lahir."
"187","Hepatitis B","Pencegahan","Apakah ada vaksin untuk hepatitis B?","Pencegahan hepatitis B paling efektif melalui vaksinasi (3 dosis jadwal standar). Selain itu, hindari berbagi jarum suntik, pisau cukur, atau sikat gigi; gunakan kondom saat berhubungan seksual; pastikan prosedur medis dan tato menggunakan alat steril; dan ibu hamil dengan hepatitis B harus melaporkan kondisinya agar bayi segera mendapat imunoglobulin hepatitis B dan vaksin saat lahir."
"188","Hepatitis B","Pencegahan","Cara melindungi diri dari virus hepatitis B itu bagaimana?","Pencegahan hepatitis B paling efektif melalui vaksinasi (3 dosis jadwal standar). Selain itu, hindari berbagi jarum suntik, pisau cukur, atau sikat gigi; gunakan kondom saat berhubungan seksual; pastikan prosedur medis dan tato menggunakan alat steril; dan ibu hamil dengan hepatitis B harus melaporkan kondisinya agar bayi segera mendapat imunoglobulin hepatitis B dan vaksin saat lahir."
"189","Hepatitis B","Pengobatan","Bagaimana cara mengobati hepatitis B?","Hepatitis B akut biasanya sembuh sendiri dan hanya memerlukan pengobatan suportif (istirahat, nutrisi baik, hindari alkohol). Hepatitis B kronis diobati dengan antivirus seperti tenofovir atau entecavir untuk menekan replikasi virus dan mencegah kerusakan hati lebih lanjut. Hingga saat ini belum ada obat yang bisa menyembuhkan hepatitis B sepenuhnya, sehingga pengobatan bertujuan mengendalikan virus jangka panjang."
"190","Hepatitis B","Pengobatan","Obat apa yang digunakan untuk mengatasi hepatitis B?","Hepatitis B akut biasanya sembuh sendiri dan hanya memerlukan pengobatan suportif (istirahat, nutrisi baik, hindari alkohol). Hepatitis B kronis diobati dengan antivirus seperti tenofovir atau entecavir untuk menekan replikasi virus dan mencegah kerusakan hati lebih lanjut. Hingga saat ini belum ada obat yang bisa menyembuhkan hepatitis B sepenuhnya, sehingga pengobatan bertujuan mengendalikan virus jangka panjang."
"191","Hepatitis B","Pengobatan","Penanganan hepatitis B yang tepat itu seperti apa?","Hepatitis B akut biasanya sembuh sendiri dan hanya memerlukan pengobatan suportif (istirahat, nutrisi baik, hindari alkohol). Hepatitis B kronis diobati dengan antivirus seperti tenofovir atau entecavir untuk menekan replikasi virus dan mencegah kerusakan hati lebih lanjut. Hingga saat ini belum ada obat yang bisa menyembuhkan hepatitis B sepenuhnya, sehingga pengobatan bertujuan mengendalikan virus jangka panjang."
"192","Hepatitis B","Pengobatan","Apakah hepatitis B bisa disembuhkan sepenuhnya?","Hepatitis B akut biasanya sembuh sendiri dan hanya memerlukan pengobatan suportif (istirahat, nutrisi baik, hindari alkohol). Hepatitis B kronis diobati dengan antivirus seperti tenofovir atau entecavir untuk menekan replikasi virus dan mencegah kerusakan hati lebih lanjut. Hingga saat ini belum ada obat yang bisa menyembuhkan hepatitis B sepenuhnya, sehingga pengobatan bertujuan mengendalikan virus jangka panjang."
"193","Serangan Jantung","Gejala","Apa saja gejala serangan jantung yang harus diwaspadai?","Gejala serangan jantung meliputi nyeri dada yang terasa seperti ditekan, diremas, atau terbakar yang bisa menjalar ke lengan kiri, rahang, leher, punggung, atau perut atas; sesak napas; keringat dingin mendadak; mual dan muntah; pusing; dan rasa takut atau cemas berlebihan. Gejala pada wanita bisa lebih tidak khas, seperti kelelahan ekstrem, mual, atau nyeri punggung tanpa nyeri dada yang jelas."
"194","Serangan Jantung","Gejala","Bagaimana tanda-tanda seseorang sedang mengalami serangan jantung?","Gejala serangan jantung meliputi nyeri dada yang terasa seperti ditekan, diremas, atau terbakar yang bisa menjalar ke lengan kiri, rahang, leher, punggung, atau perut atas; sesak napas; keringat dingin mendadak; mual dan muntah; pusing; dan rasa takut atau cemas berlebihan. Gejala pada wanita bisa lebih tidak khas, seperti kelelahan ekstrem, mual, atau nyeri punggung tanpa nyeri dada yang jelas."
"195","Serangan Jantung","Gejala","Ciri-ciri serangan jantung itu seperti apa ya?","Gejala serangan jantung meliputi nyeri dada yang terasa seperti ditekan, diremas, atau terbakar yang bisa menjalar ke lengan kiri, rahang, leher, punggung, atau perut atas; sesak napas; keringat dingin mendadak; mual dan muntah; pusing; dan rasa takut atau cemas berlebihan. Gejala pada wanita bisa lebih tidak khas, seperti kelelahan ekstrem, mual, atau nyeri punggung tanpa nyeri dada yang jelas."
"196","Serangan Jantung","Gejala","Apa yang dirasakan tubuh ketika terkena serangan jantung?","Gejala serangan jantung meliputi nyeri dada yang terasa seperti ditekan, diremas, atau terbakar yang bisa menjalar ke lengan kiri, rahang, leher, punggung, atau perut atas; sesak napas; keringat dingin mendadak; mual dan muntah; pusing; dan rasa takut atau cemas berlebihan. Gejala pada wanita bisa lebih tidak khas, seperti kelelahan ekstrem, mual, atau nyeri punggung tanpa nyeri dada yang jelas."
"197","Serangan Jantung","Pencegahan","Bagaimana cara mencegah serangan jantung?","Pencegahan serangan jantung meliputi berhenti merokok, rutin berolahraga aerobik, menjaga berat badan ideal, mengontrol tekanan darah dan kadar kolesterol, mengelola diabetes dengan baik, mengurangi konsumsi makanan tinggi lemak jenuh dan garam, mengelola stres, dan melakukan pemeriksaan kesehatan jantung secara rutin terutama bagi yang memiliki faktor risiko."
"198","Serangan Jantung","Pencegahan","Apa yang bisa dilakukan agar jantung tetap sehat?","Pencegahan serangan jantung meliputi berhenti merokok, rutin berolahraga aerobik, menjaga berat badan ideal, mengontrol tekanan darah dan kadar kolesterol, mengelola diabetes dengan baik, mengurangi konsumsi makanan tinggi lemak jenuh dan garam, mengelola stres, dan melakukan pemeriksaan kesehatan jantung secara rutin terutama bagi yang memiliki faktor risiko."
"199","Serangan Jantung","Pencegahan","Tips menjaga kesehatan jantung untuk menghindari serangan?","Pencegahan serangan jantung meliputi berhenti merokok, rutin berolahraga aerobik, menjaga berat badan ideal, mengontrol tekanan darah dan kadar kolesterol, mengelola diabetes dengan baik, mengurangi konsumsi makanan tinggi lemak jenuh dan garam, mengelola stres, dan melakukan pemeriksaan kesehatan jantung secara rutin terutama bagi yang memiliki faktor risiko."
"200","Serangan Jantung","Pencegahan","Faktor risiko serangan jantung apa yang harus dihindari?","Pencegahan serangan jantung meliputi berhenti merokok, rutin berolahraga aerobik, menjaga berat badan ideal, mengontrol tekanan darah dan kadar kolesterol, mengelola diabetes dengan baik, mengurangi konsumsi makanan tinggi lemak jenuh dan garam, mengelola stres, dan melakukan pemeriksaan kesehatan jantung secara rutin terutama bagi yang memiliki faktor risiko."
"201","Serangan Jantung","Pengobatan","Apa yang harus dilakukan jika seseorang mengalami serangan jantung?","Serangan jantung adalah kedaruratan medis — segera hubungi 119 atau minta orang lain membawa ke IGD terdekat. Penanganan mencakup pemberian aspirin (jika tidak alergi), oksigen, dan segera dilakukan tindakan reperfusi seperti Primary PCI (pemasangan stent) dalam 90 menit dari kontak medis pertama, atau trombolitik jika PCI tidak tersedia. Waktu emas adalah 'time is muscle' — semakin cepat ditangani, semakin banyak otot jantung yang bisa diselamatkan."
